Deformation (mm), Load (tonnes)
0.4121679585983866, 1.993705067867424
0.20152099364010034, 1.5430043233149675
0.21729381654982305, 1.2361798400439454
1.611220466100141, 3.289988062970963
2.0615698529892885, 4.0117826393590725
3.188052191970879, 5.728469772721471
3.5119524837152873, 6.244845630638615
3.792783622734662, 6.675420254511312
4.132789790240816, 7.230468723958104
4.402726995753117, 7.657855295302127
4.7647475305676625, 8.18661852737614
5.096012735105587, 8.690369469967614
5.347354997106484, 9.175658121908178
5.76209408427831, 9.710523547931018
6.049676393358405, 10.216974958546775
6.265509254390569, 10.575741682682704
7.373059160943065, 12.211604743305166
7.670176401764763, 12.654863383655584
8.005426063091772, 13.108753412010714
8.37264879821285, 13.674405992007427
8.61544980718238, 14.07959894419729
8.939637486396904, 14.554533528923518
9.236291984681976, 15.064519643055917
9.560406599285454, 15.549990144695089
9.884813472333121, 15.993316978682484
10.209122925899393, 16.450691701887138
10.946679841532578, 17.419525211811816
10.533773347650556, 16.858898812831384
12.0470388619106, 19.01906865135141
12.39866230257319, 19.47299959588873
12.749701226347408, 20.0112178757296
13.237115246640421, 20.5603130406683
13.779488467362821, 21.054757824933645
14.321978591462894, 21.532345142138276
15.46178652379254, 22.451834046317487
16.113401079978004, 22.934610899296068
16.76489386181172, 23.434947613796226
17.41631357903439, 23.945820245209323
18.067903780349507, 24.43210907049222
18.774285481415312, 24.887929952968612
19.69843799533962, 25.42306490622331
20.84259659314523, 25.715187848768096
22.043114575017377, 25.750753930162364
23.24335358292007, 25.826548057951513
24.442636108641782, 26.040266916237393
25.64389802109913, 25.96855820724532
26.68332348064722, 25.622267044037713
27.61429854759749, 25.173589850949163
28.599729075075427, 24.74290157101484
29.47653920030861, 24.234342652284887
30.189371462749694, 23.759992584447033
30.628319291048346, 23.427446313728755
