Deformation (mm), Load (tonnes)
0.32074860663724003, 7.3059092994211525
0.2707620482643929, 6.643504695542074
0.3880018281046915, 6.134333278495355
0.22033425891220304, 5.520027844134798
0.30115868180365446, 4.883798912928562
0.14043045410828903, 4.449410382869647
0.3074386123293458, 3.978232931123813
0.0920614720488615, 3.5537512745957756
0.09522761891075682, 3.0971928971103466
0.15328988136275967, 2.595080972774994
0.04632282738239191, 2.2787975142570893
0.4322163494522382, 8.165688325143673
0.9789600955056255, 9.460897233270252
0.6557817433215405, 8.84041769075412
2.011604983257019, 10.092364523145957
3.0454786902450266, 10.546636079102495
4.243902916980868, 10.884121651151538
5.443323483638286, 11.07793500650936
6.643230264177433, 11.201636320121867
7.843506354714176, 11.27208313208083
9.04383026956716, 11.335633677638615
10.24443315959818, 11.358956002522863
11.445182179484366, 11.361206402292396
12.646010906564275, 11.35196302472663
13.847185031483669, 11.292913278707907
15.047283109287758, 11.389029526715703
16.248085267303093, 11.383617408261703
17.448980417044442, 11.364795882916521
18.649837041642158, 11.351529683283403
19.85031240016322, 11.393242051904124
21.051227476703, 11.37154708222512
22.252441455219255, 11.306750447538754
23.45340302762204, 11.278350774414154
24.654125478443653, 11.284432433295454
25.854715083942388, 11.309670387735583
27.05538439663485, 11.323414564840412
28.25623969277933, 11.310339928162882
29.456909005471793, 11.324084105267708
30.65735248111536, 11.370393984822549
31.85788894848495, 11.403294457486208
33.058518407580536, 11.422785523258689
34.25962610983849, 11.373313925019378
35.46102607180678, 11.281698476550652
36.66149611651492, 11.324177096993726
37.86152777165757, 11.429871492780933
39.062263507011465, 11.434037522106351
40.26305238049452, 11.430541033208232
41.463827969445276, 11.428960173865999
42.66492238717095, 11.381404205182577
43.86541900094366, 11.420051566513884
45.066008606442395, 11.44528952095401
46.26691704071603, 11.424552366052946
47.46773248326366, 11.417224618043068
48.66833537329468, 11.440546942927313
49.869004685987136, 11.454291120032142
51.06966071414731, 11.46995092669285
52.27026360417833, 11.493273251577097
53.47091963233851, 11.508933058237808
54.671549091434095, 11.52842412401029
