Deformation (mm), Load (tonnes)
0.2781558130194508, 6.8890682047368905
0.3313073584934383, 6.158121392292937
0.18599861394373285, 5.748948055842167
0.18921347075735007, 5.285365703318504
0.2469841693554784, 4.825297286712033
0.14113187741307875, 4.348265142319029
0.14420060437153204, 3.9057547149100778
0.09293825117984866, 3.4273197239075017
0.09610439804174398, 2.9707613464220763
0.17579387905808375, 2.4981910336067727
0.1291906327485588, 2.1349594623211487
0.05275254100962634, 1.3516328092097645
0.4462656279819406, 7.570776237750174
0.6937917423148683, 12.104338415075738
0.5845817110338025, 10.1126436937964
0.5519321262513461, 8.074599829789022
0.6018598267658639, 8.745491736839302
0.7692272208808664, 11.370698997683874
0.7514967984542462, 10.779239383104848
0.8472605635386756, 12.71103710041734
0.9740486710735485, 13.317311164873129
1.5270475166476931, 15.034204057952003
1.4113948694009881, 15.314510955002824
2.483330421959721, 15.52724192715604
3.3353870383589825, 15.964650208531037
4.424876624276738, 16.26957834406127
5.458753467890421, 16.72339759859489
6.602159804156853, 17.12399665508945
7.801474094555971, 17.333135046894338
9.000137442872994, 17.636139286937485
10.19876093759315, 17.94489041564828
11.398378115328423, 18.11035245357904
12.598306151119232, 18.230988759902132
13.798470651584758, 18.317526860130513
14.998741428308588, 18.388739923911828
16.19922475754902, 18.42930291479902
17.399973777435203, 18.431553314568554
18.60072279732139, 18.433803714338083
19.802036409829803, 18.354639857982594
21.003057762627886, 18.317619851856527
22.203873205175512, 18.310292103846646
23.40459565599712, 18.31637376272794
24.60534467588331, 18.318624162497475
25.806106980301777, 18.318958932711126
27.006988845510847, 18.302053036921826
28.20773786539703, 18.304303436691363
29.408526738880077, 18.300806947793248
30.609740717396328, 18.236010313106874
31.81175176784985, 18.05627590506753
33.01454660570833, 17.763519353231096
34.10870032765261, 17.395879073736346
34.98501091529411, 16.959353475728907
35.69774536672959, 16.499107754898166
36.24593934089105, 16.154199893251132
